gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000005807	50.5340201084632	2.14282621678038	0.434137153449843	4.93582776722182	7.98115185128714e-07	0.000250807696926699	afmid	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			afmid	Direct local gene symbol: afmid	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	8	17761632	17767242	+					afmid / ENSSMAG00000005807
ENSSMAG00000006821	19.1158713817031	5.53082169899299	1.12002618118489	4.9381182260774	7.8880019167861e-07	0.000250807696926699	ENSSMAG00000006821	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			atp6ap1lb	Ensembl REST display name: atp6ap1lb	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	11	15153377	15166388	+					atp6ap1lb / ENSSMAG00000006821
ENSSMAG00000029823	9656.22853034775	4.0515222702787	0.827684938619145	4.89500543170205	9.83030132946799e-07	0.000302612786232031	ENSSMAG00000029823	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			ENSSMAG00000029823	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	lncRNA	5	1189432	1212078	+					ENSSMAG00000029823
ENSSMAG00000019284	4903.58784371668	-1.08730763224504	0.22259864087603	-4.88461038201299	1.03633573188999e-06	0.000312641763596572	pcolcea	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			pcolcea	Direct local gene symbol: pcolcea	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	4	15694195	15700504	-					pcolcea / ENSSMAG00000019284
ENSSMAG00000002702	309.316767089106	-4.34814028732271	0.456715719273056	-9.52045244740764	1.72426690835482e-21	2.47966824090507e-17	ENSSMAG00000002702	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	down			ENSSMAG00000002702	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	2	20370666	20381335	+					ENSSMAG00000002702
ENSSMAG00000035843	46.4131469077158	-8.47398867056318	1.29011508728047	-6.56839746632692	5.08596347195902e-11	3.65706203451214e-07	ENSSMAG00000035843	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	down			ENSSMAG00000035843	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	5	527115	538698	-					ENSSMAG00000035843
ENSSMAG00000005062	160.799377666029	4.08282583284234	0.680336861928028	6.00118273949157	1.95885379612626e-09	9.39009214736394e-06	vcla	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			vcla	Direct local gene symbol: vcla	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	15	9555761	9578283	+					vcla / ENSSMAG00000005062
ENSSMAG00000000087	295.695681086008	3.00684480514415	0.509923768815089	5.89665551800255	3.70943142159613e-09	1.22633805833035e-05	ENSSMAG00000000087	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000000087	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	1	870217	978196	-					ENSSMAG00000000087
ENSSMAG00000003050	111.168384192624	3.08578574098775	0.525363331675824	5.87362222472701	4.26374403146635e-09	1.22633805833035e-05	usp13	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			usp13	Direct local gene symbol: usp13	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	12	12063822	12089155	+					usp13 / ENSSMAG00000003050
ENSSMAG00000005625	137.733906665507	3.61710876827976	0.63582469177462	5.68884602166711	1.27900729347266e-08	3.06556731457172e-05	ca2	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ca2	Direct local gene symbol: ca2	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	21	12279717	12285144	+					ca2 / ENSSMAG00000005625
ENSSMAG00000031332	227.602597053638	-4.99483279654906	0.884894100628042	-5.64455429525866	1.65609712890325e-08	3.40233325867965e-05	ENSSMAG00000031332	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	down			ENSSMAG00000031332	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	lncRNA	13	14019318	14032971	-					ENSSMAG00000031332
ENSSMAG00000013183	130.954382924964	4.33793624662801	0.798484941310477	5.43270889931697	5.55049153970541e-08	9.97770235406294e-05	ENSSMAG00000013183	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			smyd2b	Ensembl REST display name: smyd2b	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	20	11538999	11547171	+					smyd2b / ENSSMAG00000013183
ENSSMAG00000001045	61.6930196350206	4.18778235540885	0.78691395419174	5.32177925312079	1.02757218757579e-07	0.000147775156295274	ENSSMAG00000001045	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			frmd5a	Ensembl REST display name: frmd5a	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	10	13516624	13564136	+					frmd5a / ENSSMAG00000001045
ENSSMAG00000020754	69.7978629847886	3.54664627788783	0.664360064281642	5.3384399041546	9.37497702102301e-08	0.000147775156295274	ENSSMAG00000020754	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			fhod3a	formin homology 2 domain containing 3a [Source:ZFIN;Acc:ZDB-GENE-060503-633]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	7	26752067	26804977	+					fhod3a / ENSSMAG00000020754
ENSSMAG00000010735	109.600432569635	2.25378243294949	0.439371555943854	5.12955925903747	2.90421338919042e-07	0.000379686297726794	ENSSMAG00000010735	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000010735	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	22	9687229	9692429	+					ENSSMAG00000010735
ENSSMAG00000025244	20.964106873211	5.86097078082733	1.14858191483709	5.10278866932936	3.34684674414077e-07	0.000401091691895737	ENSSMAG00000025244	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000025244	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	10	13494857	13504641	-					ENSSMAG00000025244
ENSSMAG00000032878	65.185891146581	2.35668494511225	0.466403112417262	5.05289283533742	4.35168089229681e-07	0.000481396330093233	hspa1b	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			hspa1b	Direct local gene symbol: hspa1b	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	11	12334742	12337233	-					hspa1b / ENSSMAG00000032878
ENSSMAG00000014512	25.8011875737004	5.44897878293658	1.09148464977971	4.99226332137269	5.96758189836446e-07	0.000612998537716995	ENSSMAG00000014512	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000014512	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	14	22778902	22785561	+					ENSSMAG00000014512
ENSSMAG00000005807	42.0800807154553	2.49226071379606	0.50721272000583	4.91364000841188	8.94008370608548e-07	0.000714350818425255	afmid	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			afmid	Direct local gene symbol: afmid	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	8	17761632	17767242	+					afmid / ENSSMAG00000005807
ENSSMAG00000009260	120.939487687204	3.29778069549452	0.670724810879624	4.91674177248584	8.79965023754218e-07	0.000714350818425255	ENSSMAG00000009260	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000009260	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	7	3534235	3535391	-					ENSSMAG00000009260
ENSSMAG00000013090	91.6821335836082	2.76169362711448	0.559499466167277	4.93600761772452	7.9737994035547e-07	0.000714350818425255	ENSSMAG00000013090	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			rbfox1l	Ensembl REST display name: rbfox1l	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	1	18873606	18884571	-					rbfox1l / ENSSMAG00000013090
ENSSMAG00000020029	175.856902002257	2.72570707046433	0.554725300821253	4.91361592202303	8.94118262405576e-07	0.000714350818425255	ENSSMAG00000020029	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ppp1r3aa	Ensembl REST display name: ppp1r3aa	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	2	16216795	16223062	-					ppp1r3aa / ENSSMAG00000020029
ENSSMAG00000009992	73.6390721368373	2.69838871844011	0.550562965533922	4.90114462352782	9.52798799093865e-07	0.000721168396303625	SYNPO2	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			SYNPO2	Direct local gene symbol: SYNPO2	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	2	8148433	8163396	-					SYNPO2 / ENSSMAG00000009992
ENSSMAG00000008810	5282.88877675188	3.69177759066828	0.767951189348084	4.8073076021957	1.52976522152168e-06	0.00104759779289063	ldha	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ldha	Direct local gene symbol: ldha	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	10	18148203	18154364	-					ldha / ENSSMAG00000008810
ENSSMAG00000011868	57.4928529748484	1.95338635330837	0.405718258437097	4.8146375290902	1.47467315020649e-06	0.00104759779289063	ENSSMAG00000011868	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000011868	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	8	11779025	11844125	-					ENSSMAG00000011868
ENSSMAG00000034133	76.3938468487424	3.59860056813185	0.756677561325347	4.75579130670768	1.97670592623749e-06	0.00129213672387369	ENSSMAG00000034133	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000034133	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	pseudogene	14	4895380	4926509	-					ENSSMAG00000034133
ENSSMAG00000011025	153.933438118571	2.93637507954272	0.619172661392914	4.74241720061887	2.11183152212174e-06	0.00132044561389707	ENSSMAG00000011025	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000011025	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	9503074	9557250	-					ENSSMAG00000011025
ENSSMAG00000001588	129.890127999955	2.50490665456183	0.534359753812271	4.68767836030152	2.76321846629619e-06	0.00158951379055221	ENSSMAG00000001588	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			fkbp16	FKBP prolyl isomerase 16 [Source:ZFIN;Acc:ZDB-GENE-050208-116]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	10	13753494	13808854	-					fkbp16 / ENSSMAG00000001588
ENSSMAG00000010469	121.613241697042	2.14105844122478	0.456560506605038	4.68953930585364	2.73820834591495e-06	0.00158951379055221	ENSSMAG00000010469	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000010469	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	7	16166563	16175332	-					ENSSMAG00000010469
ENSSMAG00000012664	74.4613974592074	-3.65191491155952	0.783956735808005	-4.65831179803	3.18813084457737e-06	0.00170230019930886	trim25	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	down			trim25	Direct local gene symbol: trim25	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	8	21115427	21126535	+					trim25 / ENSSMAG00000012664
ENSSMAG00000021101	481.878957030569	1.8453377230678	0.396182066874078	4.65780225144394	3.19602985754394e-06	0.00170230019930886	GOT1	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			GOT1	Direct local gene symbol: GOT1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	8	1821213	1826222	-					GOT1 / ENSSMAG00000021101
ENSSMAG00000008760	2258.18749285067	2.92923727814687	0.630639996918895	4.64486441148386	3.40299876685207e-06	0.00174780447378927	znf106a	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			znf106a	Direct local gene symbol: znf106a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	17	3456402	3469343	+					znf106a / ENSSMAG00000008760
ENSSMAG00000022757	4689.93889757314	-4.47880653952897	0.971472351984812	-4.61032836434134	4.02033446171758e-06	0.00199366999634346	ENSSMAG00000022757	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	down			ENSSMAG00000022757	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	19336059	19337132	+					ENSSMAG00000022757
ENSSMAG00000018102	407.044766967315	2.24665055710077	0.488755227854337	4.59667831475419	4.29279604272443e-06	0.00205782332968066	ENSSMAG00000018102	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000018102	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	18	12671762	12681708	+					ENSSMAG00000018102
ENSSMAG00000027128	12.1678561219796	4.52468474160393	0.990376633487328	4.56865054022079	4.90874437798272e-06	0.00227718235160546	ENSSMAG00000027128	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			ENSSMAG00000027128	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	15	21939578	21956391	+					ENSSMAG00000027128
ENSSMAG00000011881	51.7619824159639	4.04056382050206	0.887363710499473	4.55344721977388	5.27739166646982e-06	0.00237169279860945	clcn1b	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			clcn1b	Direct local gene symbol: clcn1b	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	1	18276318	18300655	-					clcn1b / ENSSMAG00000011881
ENSSMAG00000010206	23.5145785544481	4.04278134916488	0.890277488152771	4.54103513001683	5.59787021419157e-06	0.00243948398637239	homer1b	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			homer1b	Direct local gene symbol: homer1b	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	9	13060984	13073429	-					homer1b / ENSSMAG00000010206
ENSSMAG00000001955	66.9888580579608	3.3068646771368	0.730811683052312	4.52492037801768	6.04182475537075e-06	0.00248249948019962	klhl30	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			klhl30	Direct local gene symbol: klhl30	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	12	20900297	20903721	-					klhl30 / ENSSMAG00000001955
ENSSMAG00000005595	57.8280263176454	2.21743755420981	0.489437887715151	4.5305800998805	5.88219471834611e-06	0.00248249948019962	ENSSMAG00000005595	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			SEMA4D	semaphorin 4D [Source:UniProtKB Gene Name;Acc:A0A8D3BT04]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	16	11410746	11448314	+					SEMA4D / ENSSMAG00000005595
ENSSMAG00000007705	1028.91678576339	2.07807207911884	0.461316687387642	4.50465403904335	6.64811598942986e-06	0.00265573766788863	pgk1	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			pgk1	Direct local gene symbol: pgk1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	4	10367245	10376047	+					pgk1 / ENSSMAG00000007705
ENSSMAG00000029313	69.9620589098915	-4.25712510192956	0.954391956897393	-4.46056263484128	8.17447631245893e-06	0.00317722010403978	ENSSMAG00000029313	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	down			ENSSMAG00000029313	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	3	16210088	16213144	-					ENSSMAG00000029313
ENSSMAG00000015655	74.4748461454982	3.05824950169094	0.686650019777498	4.45386938557424	8.43364174363031e-06	0.00319168952408282	slc25a25a	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			slc25a25a	Direct local gene symbol: slc25a25a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	9	24802401	24809235	+					slc25a25a / ENSSMAG00000015655
ENSSMAG00000023012	1195.20707965817	-4.63356109498612	1.04502308946061	-4.4339317874572	9.25299129388436e-06	0.0034119812255731	ENSSMAG00000023012	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	down			ENSSMAG00000023012	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	12	4009010	4015002	-					ENSSMAG00000023012
ENSSMAG00000016571	827.264653706436	3.52826640565509	0.798364864578739	4.4193658340874	9.89909535932297e-06	0.00355897225906059	jph1a	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			jph1a	Direct local gene symbol: jph1a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	21	4014691	4045968	-					jph1a / ENSSMAG00000016571
ENSSMAG00000013347	78.8283742342364	2.55820077482057	0.5800383388197	4.41039945743271	1.03180105174234e-05	0.00361910510368454	ENSSMAG00000013347	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			prkg1b	Ensembl REST display name: prkg1b	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	18	21525471	21546594	+					prkg1b / ENSSMAG00000013347
ENSSMAG00000014321	219.828492518261	2.08803441856299	0.474222554014477	4.40306856113648	1.06730418059366e-05	0.00365450033836128	SLC25A12	P_BD_vs_N_BL	Pseudoalbino: superficie ciega oscura vs Normal: superficie ciega clara	Pseudoalbino: ciega oscura vs Normal: ciega clara	secondary	abnormal_vs_expected	P_BD	N_BL	TRUE	TRUE	up			SLC25A12	Direct local gene symbol: SLC25A12	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	14	12611528	12632201	-					SLC25A12 / ENSSMAG00000014321
